timestamp,"tweet_text"
2021-06-13T14:43:25Z,"Nice to see the energy and skill of @BellinghamJude joining the game... Wise Head on Young Shoulders! 

#ENG 
#EURO2020"
2021-06-13T14:43:29Z,"England been mad underwhelming since that hot start"
2021-06-13T14:43:33Z,"England won't even give us over 1.5"
2021-06-13T14:43:33Z,"I'm not disagreeing.

https://t.co/Lcxp75jCLl

#ENGCRO #ENGvCRO #ENGvsCRO #Euro2020 #Euro2021"
2021-06-13T14:43:55Z,"Is this where Pickford blows it for England?"
2021-06-13T14:44:07Z,"It's called ancestry"
2021-06-13T14:44:09Z,"Future Chelsea player"
2021-06-13T14:44:12Z,"England over 1.5. Is that too much?"
2021-06-13T14:44:20Z,"england’s football is so painful to watch"
2021-06-13T14:44:25Z,"Jude Bellingham is 17 YEARS OLD and came on for England. Youngest player ever to play for England 😧😧😧😧😧😧😧😧😧"
2021-06-13T14:44:57Z,"Disappointed from Croatia thought they would have at least a couple of good chances"
2021-06-13T14:45:03Z,"Borna Barisic would’ve scored four goals and put England in their place but no.

Sack the manager."
2021-06-13T14:45:14Z,"Where the fuck is Jacky Jacky Grealish?  #ENGCRO"
2021-06-13T14:45:17Z,"Dnt knw why Manzudkic aint playing tho"
2021-06-13T14:45:22Z,"FACTS"
2021-06-13T14:45:33Z,"It’s a pitiful demeaning display of stupidity..!!"
2021-06-13T14:46:00Z,"Disappointed not to hear this belting out from the stands... 

#ENGCRO"
2021-06-13T14:46:05Z,"@MrsAstronaut Really !! England have 5 players who would walk into the majority of teams in thd Euros 😂"
2021-06-13T14:46:05Z,"Think Stones and especially Phillips have been brilliant today."
2021-06-13T14:46:05Z,"So no Grealish today"
2021-06-13T14:46:07Z,"We’re not gonna score goals against better teams unless grealish foden and mount start"
2021-06-13T14:46:09Z,"@sucre_ade @snakeyffs Na why you suppose Dey watch match not opta score.
There is no area Kane isn’t better than lukaku. 
Imagine thinking Kane and lukaku is debatable."
2021-06-13T14:46:10Z,"https://t.co/w1hXMpLKnr"
2021-06-13T14:46:16Z,"The highs, lows and whoas from yesterday's Euro matches. 

Hear all about it in our daily Football Extra.

@hajrakn @adeel_rizki @TeeSiddiqui

#TenSports #Euro2020 https://t.co/O1f9qVU98R"
2021-06-13T14:46:18Z,"The AED saves countless lives everyday, truly an amazing device."
2021-06-13T14:46:19Z,"@sam_sam43625282 @grealish Grealish is England’s second best player. Southgates really pissing me off"
2021-06-13T14:46:21Z,"@DG_Avfc Saving Grealish for the important games dw"
2021-06-13T14:46:21Z,"I genuinely think Southgate will bench Grealish most games"
2021-06-13T14:46:26Z,"@LeylandSDM Come on England"
2021-06-13T14:46:27Z,"Watching England fans will never not be insufferable honestly the state of them https://t.co/rBQiAiY47F"
2021-06-13T14:46:29Z,"I would pay €300 for a Croatia equalizer"
2021-06-13T14:46:30Z,"Kevin Philips is the best player on the field today #ENGCRO"
2021-06-13T14:46:57Z,"You can only beat what's in front of ye, but England haven't come under any pressure from a very poor Croatian side who's
'Best Before Date Reads 2018'.
As for the Hysteria from the English media that's about to come on the back of this, it'll be insufferable."
2021-06-13T14:46:58Z,"Philips was good, centre backs looked solid. Didn't create much, Croatia very average. shite game, no grealish. No doubt fans and media will get carried away again. I'm not getting sucked in same shite every tournament"
2021-06-13T14:47:01Z,"I’m going to piss myself laughing"
2021-06-13T14:47:04Z,"@markgoldbridge I'm sick of this! England is a small country. They will never win against big countries like Italy or France and they will always lose in big matches. I'm taking my citizenship to Germany where they know how to run a football nation."
2021-06-13T14:47:05Z,"@Okwonga Brilliant finish from Raheem Sterling after an excellent play from Kalvin Phillips. Clean finish Take a look at his goal      #EURO2020  #ENGCRO 
https://t.co/IuWittZGW9"
2021-06-13T14:47:14Z,"#EngvsCro Phillips for MOTM today. He's been great in his first tournament start. Grealish will only be called upon when we're losing and in the 80th minute asked to save our bacon. Southgate is so boring."
2021-06-13T14:47:20Z,"the worst thing about this match has been the frequent shots of topless English fans #ENGCRO"
2021-06-13T14:47:27Z,"@magicmarkus1909 Plus Rashford plus grealish. Usw… das ist ne harte Nummer."
2021-06-13T14:47:31Z,"Only the British media could broadcast a man almost dying to millions of people."
2021-06-13T14:47:54Z,"When you tell him he can get an extra one if he brings his mate"
2021-06-13T14:47:56Z,"🏴󠁧󠁢󠁥󠁮󠁧󠁿🍺 COME ON ENGLAND, BLOODY BASTARDS @JOELDIAZBRAH 🍺🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-06-13T14:48:16Z,"Croatia have been poor, but most of the team selection paid off"
2021-06-13T14:48:19Z,"Absolutely. They looked lost upfront.
No target to play the ball to."
2021-06-13T14:48:23Z,"DCL on and no Jack Grealish this entire game…"
2021-06-13T14:48:23Z,"Croatia is nothing without Rakitic :)"
2021-06-13T14:48:26Z,"@CoreyBains Still think grealish got to play for me mate"
2021-06-13T14:48:29Z,"England is VERY sheltered from problems, no one really talks about it unless it’s on social media. He IS trying his best to learn everything and he’s gonna make mistakes. He’s 17, in Nottingham, he was probably sheltered from everything most of his life until “fame”."
2021-06-13T14:48:30Z,"@WyreDavies @England It’s down to a lifetime of listening to the insufferable boasting and overhyping from their national media. I’ve got nothing against the players or coach, who are excellent. It is regrettable, but easily understood."
2021-06-13T14:48:31Z,"If England win its all down to Dom"
2021-06-13T14:48:32Z,"Manchester United must sign Kalvin Philips ASAP. He actually bossing a midfield of Modric and Kovacic 🔥🔥"
2021-06-13T14:48:56Z,"Pretty sure jenas sees football differently to everyone else. Sterling did well for the goal but apart from a couple of runs he’s been poor #ENGCRO #eng"
2021-06-13T14:48:56Z,"Never understood the hate for sterling, those numbers over the last three years are no easy feet put respec on his bloodclart name #Sterling #EURO2020"
2021-06-13T14:48:57Z,"Modric is finished basically playing as a defender at 35😂"
2021-06-13T14:49:06Z,"Going to presume the England brass band are all behind bars?"
2021-06-13T14:49:06Z,"guys what’s going on did england win a football game😭"
2021-06-13T14:49:08Z,"@WrestlingDaze @markgoldbridge @England @MrStephenHowson @AdamMcKola @MrMadMarcus Raheem Sterling should not be playing for @England because he is not English he comes from Jamaica I have always said players should only play for the country they was born in https://t.co/GoRlIO7X2D"
2021-06-13T14:49:11Z,"Croatia remind me of a bunch of lads kicking the ball around having a chat before the game starts. So pedestrian, not much about them. #ENGCRO"
2021-06-13T14:49:12Z,"@England Tomorrow is more a important day than the 21st June. Because if this continues I believe there will be #anarchy on the streets!"
2021-06-13T14:49:24Z,"Never seen Lewy do that for Poland. If this is a bad game btw then Kane really is entering GOAT candidate territory because the standards for him are getting REALLY high."
2021-06-13T14:49:29Z,"Croatia too slow. Modric too deep."
2021-06-13T14:49:29Z,"Pickford scared me at #bcafc. He still scares me now. #ENGCRO"
2021-06-13T14:49:31Z,"To be very clear i don't give a shit about England's Euro campaign and their progress if Hendo is warming the bench there"
2021-06-13T14:49:32Z,"@HaleEndArsenal England should've give saka a run out..😔"
2021-06-13T14:49:33Z,"@WTF_____man 100 agree rakitic was as good as modric.
But modric got all the credit i 100 agree."
2021-06-13T14:49:56Z,"England has a good team this year, but Croatia has been one of my favorite teams for years. Hoped for more action in this match, but it wasn’t bad. Not a fan of some of England’s supporters, but guess all teams got some annoying and foolish supporters #EURO2020 #CRO #ENG"
2021-06-13T14:50:00Z,"Croatia might just sneak their way out of the group stages"
2021-06-13T14:50:02Z,"England will top the group and meet Portugal. And you here Cains now."
2021-06-13T14:50:03Z,"Insha’Allah IT WILL COME HOME #EURO2020 #ENGCRO #ENG"
2021-06-13T14:50:06Z,"England fans celebrating the win but Grealish didn’t play https://t.co/vRYWTVUq6W"
2021-06-13T14:50:18Z,"There’s no chance I’m buying that Sterling has been decent at all today. He’s been below average, at best. Without the goal, you’d be questioning his contribution to the game. #ENG #ENGCRO"
2021-06-13T14:50:20Z,"Jamaica coming over to help England once again. Hope we get treated better this time round. 🇯🇲🇯🇲🇯🇲🇯🇲🇯🇲🇯🇲🇯🇲🇯🇲"
2021-06-13T14:50:21Z,"Ian Darke really is being the Frank the Tank of England soccer"
2021-06-13T14:50:22Z,"fuck england all my homies hate england"
2021-06-13T14:50:29Z,"One of the best midfielders I’ve watched play football. Taya is the definition of a complete midfielder 
Strong,fast,technical and and also with an immense output for a midfielder.
My idol right there"
2021-06-13T14:50:55Z,"Come on England 🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-06-13T14:50:54Z,"MODRIC KOVACIC AND BROZOVIC - WELCOME TO THE DECLAN RICE PENITENTIARY https://t.co/owNq7OOee0"
2021-06-13T14:50:55Z,"Croatia have now lost to the eventual winners in 4 of their 5 last major tournaments #ThreeLions"
2021-06-13T14:50:55Z,"Papa was a rolling stone but now I got rolling stones in the bezel. ICE!!"
2021-06-13T14:50:55Z,"Englishmen's are of different breed 😭 #EURO2020 https://t.co/unAxHEZDvK"
2021-06-13T14:50:58Z,"⏰ FULL-TIME: #eng 1-0 #cro

⚽️ Raheem #Sterling’s second half strike allows England to start #EURO2020 with 3-points! https://t.co/WHIHRv7UUO"
2021-06-13T14:50:58Z,"Croatia are a shadow of the team they were a few years ago. We should be strongly fancying two wins at Hampden."
2021-06-13T14:50:59Z,"@FranklinVH2 We're seeing England derangement live on the"
2021-06-13T14:51:00Z,"Good win. Exciting looking side #England #EURO2020"
2021-06-13T14:51:02Z,"Not much in this game at all (the ole xGs will be a bit shrug), but best thing for me is that England looked secure in the main. They've got tons of attacking options so that can work itself out, just need to be hard to beat, and today, they were."
2021-06-13T14:51:02Z,"We have nothing to fear against Croatia"
2021-06-13T14:51:06Z,"Raheem Sterling scores the only goal of what was a fairly turgid match as they win 1-0 &amp; break the opening game hoodoo. England will hope to 'go through the gears' &amp; peak at the right time.

Croatia didn't offer much &amp; looked a shadow of the team that performed World Cup heroics."
2021-06-13T14:51:10Z,"Croatia look extremely passive. England look like they struggle to break sides down. 
All positives signs."
2021-06-13T14:51:17Z,"#ENG 1:0 #CRO - deserved victory for The Three Lions over here. To be honest, I did expect more from Croatia. #EURO2020"
2021-06-13T14:51:25Z,"Croatia defo don’t look as great as they’ve been looking in 2018"
2021-06-13T14:51:26Z,"@Paloresow @gdot_87 @Chris57raker @Femi_Sorry So let's travel from all over England to have a protest in a covid hotspot🙄"
2021-06-13T14:51:26Z,"Hardest game in the group won! Philips today 👏🏽👏🏽 didn’t expect that. Grealish 👀👀"
2021-06-13T14:51:29Z,"Job done from England. It’s definitely coming home this time around 😁"
2021-06-13T14:51:30Z,"Huge win that! Very promising and must be a huge mental boost to beat Croatia after what happened in 2018"
2021-06-13T14:51:32Z,"Finally England have won an opening game in the Euros!"
2021-06-13T14:51:55Z,"Grealish doesn’t even get on! Southgate 100% hates him and has only got him here due to fan pressure"
2021-06-13T14:51:55Z,"lovely english afternoon to be english and live in england right now"
2021-06-13T14:51:57Z,"Get in England and we've got a bye next Friday 🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-06-13T14:52:02Z,"Phillips brilliant Overall England performance was completely average and quite boring. Should walk this group now. Fair play"
2021-06-13T14:52:03Z,"Great start to the tournament. But we was awful, was a poor game #ENG #EURO2020"
2021-06-13T14:52:03Z,"Good shift from England, that! On we go…"
2021-06-13T14:52:03Z,"England attacking main macam takde chemistry"
2021-06-13T14:52:04Z,"I predicted correctly 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-06-13T14:52:04Z,"Perfect start that. Limited Croatia to basically nothing whilst also looking great going forward at times. 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-06-13T14:52:07Z,"Bellingham will have to tell grealish what it's like to play in a major tournament #ENGCRO"
2021-06-13T14:52:07Z,"YESSS GET THE W @England, @sterling7 lets go Razzz"
2021-06-13T14:52:14Z,"No fucking way 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂

How do you people get these picture s"
2021-06-13T14:52:26Z,"England🏴󠁧󠁢󠁥󠁮󠁧󠁿 - Euro 2020 Thread

Game 1 vs Croatia🇭🇷

- Solid first game for @England and the team is looking strong. @Kalvinphillips had a fantastic game, definitely MOTM. @sterling7 with the winning goal.

England win 1-0"
2021-06-13T14:52:26Z,"England fans.. 2018 “first time we play a decent team we lose” 
2021 “we’ve only beat Croatia they are crap” 

Sterling and Phillips were outstanding.

Southgate your the one"
2021-06-13T14:52:32Z,"That was a really mature and disciplined display from England.

Phillips clearly MOTM but it felt like a real team display.

Fair play to Southgate for his team selection. He’s seen these lads in training for two weeks and knows where they’re at.

Positive, and more to come."
2021-06-13T14:52:54Z,"#ENGCRO PLAYER RATINGS 🏴󠁧󠁢󠁥󠁮󠁧󠁿
Pickford - 6
Trippier - 6
Mings - 6
Stones - 6
Walker - 4
Rice - 6
Phillips - 9⭐
Sterling - 8
Mount - 7
Foden - 6.5
Kane - 5

Rashford - 6
Bellingham - 6
Calvert-Lewin - 6"
2021-06-13T14:52:57Z,"That one is for the weird people who still use the “stat” like England haven’t ever won an opener. Useless info. Utterly useless."
2021-06-13T14:53:01Z,"@Lammy_Stephanou Needed Grealish"
2021-06-13T14:53:02Z,"@H_OTF it was defensively they were good and they made sure modric and kova didn’t show up"
2021-06-13T14:53:08Z,"Get in England. Kelvin phillips MOM"
2021-06-13T14:53:12Z,"England win their opening game for the first time ever at the Euros 🏴󠁧󠁢󠁥󠁮󠁧󠁿

England fans listening to Three Lions right now: https://t.co/2gDSm7X8Ls"
2021-06-13T14:53:19Z,"Well played #England"
2021-06-13T14:53:25Z,"Honestly love seeing and hearing Frank Lampard on my telly box. 
😍😍😍 💙💙💙 
#EURO2020 #ENG"
2021-06-13T14:53:25Z,"Sign him up Ole @Kalvinphillips @ManUtd #ManUtd #England"
2021-06-13T14:53:26Z,"@blondiesaint Don’t follow England I struggle with the “patriotism” . Tough enough following Saints!"
2021-06-13T14:53:27Z,"Big win for England &amp; a big goal for Sterling whose had a tough year🇬🇧 Now we wait for the Netherlands game"
2021-06-13T14:53:27Z,"Off to a winning start!!! #ComeOnEngland #EURO2020 #ItsComingHome"
2021-06-13T14:53:59Z,"That last 25 mins from England was brutal to watch. They were utter rubbish. And Pickford's distribution is the worst. They will have to be much better. #ENGCRO"
2021-06-13T14:53:59Z,"It’s flippin coming home lads!!

#EURO2020 #ENG  #CRO"
2021-06-13T14:54:01Z,"@Football__Tweet England vs Croatia 1-0 Extended Highlights &amp; All Goals 2021 HD
https://t.co/p2tl1VLIau"
2021-06-13T14:54:07Z,"We’d all be quick to moan about the selection of we’d lost 😂 So Well Done Mr Southgate 🙌🏻
Tactics spot on and Phillips was best player on the pitch #EURO2020 #ENGCRO"
2021-06-13T14:54:14Z,"All the TV technology in the world and we still can’t alter the solar system for 90 minutes 🙄 #EngvsCro #ENG #EURO2020"
2021-06-13T14:54:14Z,"Great win in a nervy opener. Kalvin Phillips was tremendous today. #ENGCRO"
2021-06-13T14:54:15Z,"Decent result England, onto the next ❤️"
2021-06-13T14:54:15Z,"YESSSSSSS ENGLAND WIN!!!!!! 1-0 #EngvsCro #EURO2020 great Sunday 👍🏻"
2021-06-13T14:54:16Z,"England seals a scrappy 1 - nil win over Croatia

👏🏿

#ENGCRO #EURO2020"
2021-06-13T14:54:18Z,"Harry Kane looked like a fucking dinosaur."
2021-06-13T14:54:23Z,"Who’s this #ENG #ENGCRO https://t.co/H2pVOR7YE8"
2021-06-13T14:54:26Z,"Great win👏"
2021-06-13T14:54:29Z,"@goal Time to hype up all English players! Croatia is a very old team with just midfielders! England couldn't even tame them so far! Maybe once the Croatian team is all tired with no proper subs also available, England can win by huge margin to get more hypes! Piss poor performance!!"
2021-06-13T14:54:33Z,"@NapoliSansone Raise your hand if you’ve been victimized by England https://t.co/meJ0Bq4j7I"
2021-06-13T14:54:55Z,"Realising this is largely because Croatia pressed terribly and other teams can still exploit this https://t.co/CeabVI4WSl"
2021-06-13T14:54:57Z,"Yes England!!! 1 - 0 Win!!!"
2021-06-13T14:55:01Z,"England have won"
2021-06-13T14:55:05Z,"@Brandonnnnnnn03 @England @UEFA Philips put it on a plate for him"
2021-06-13T14:55:10Z,"@Sean1874 Hard watch pal but that’s your euro champions right there #ENGCRO 💩💩💩"
2021-06-13T14:55:21Z,"Job done ✅, we move on to the next game harder tests are to come. I like the midfield, combination of Rice &amp; Philips. #ENGCRO #ENG #CRO"
2021-06-13T14:55:24Z,"@LeaveEUOfficial Well done England's patriots , keep booing 😊🏴󠁧󠁢󠁥󠁮󠁧󠁿👍"
2021-06-13T14:55:31Z,"so @Louis_Tomlinson do you have anything to say about England vs Croatia"
2021-06-13T14:55:57Z,"@WoodmanGav Very good performance, great game management, Croatia are a decent prem standard team.  They’d smash arsenal 😂"
2021-06-13T14:55:58Z,"Fumbled the opportunity to make his say it’s coming home"
2021-06-13T14:56:06Z,"You swear by the England fans and Southgate reaction they just won the euros 😂"
2021-06-13T14:56:10Z,"England best forward is Calvert Lewin and he doesn’t play. Southgate you are blind!  #EnglandvsCroatia"
2021-06-13T14:56:10Z,"Good win but i really dont have confidence in England winning anything as long as Southgate is manager. I dont see us breaking down teams like Portugal, Germany,  Spain and France as the tournament progresses. All these teams we could potentially play."
2021-06-13T14:56:13Z,"First time we’ve won our first Euro game. 

First time Sterling has scored in a major tournament. 

You know the rest 😉. Is it time to believe? 👀

#ENG #ENGCRO #England"
2021-06-13T14:56:17Z,"Man of the match so what do I know"
2021-06-13T14:56:20Z,"If England lost Rashford would've had a meeting planned with Great Thunberg to talk about climate change"
2021-06-13T14:56:21Z,"Tough game for #ENG to start #EURO2020 playing the Croatian side that knocked them out of the 18’ #WorldCup semi finals. Wonderful to see the Three Lions win 1-0 to start the campaign. Weird lineup calls but their talent won out. Onward!! #ENGCRO https://t.co/G07DiiJxvb"
2021-06-13T14:56:30Z,"🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 Fuck off Croatia"
2021-06-13T14:56:55Z,"@Mickmac3210 @SkyNews *England you melt"
2021-06-13T14:56:56Z,"let’s go england, love ya 🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-06-13T14:57:01Z,"@whowatme @vicderbyshire @England @FootyAccums @ManCity @WBA It’s ineffective to turn your back then peek to see if anyone cares. Weak as water these small minded folk are."
